"Time","Time Code","Country Name","Country Code","GDP (current US$) [NY.GDP.MKTP.CD]","Inflation, consumer prices (annual %) [FP.CPI.TOTL.ZG]","GDP growth (annual %) [NY.GDP.MKTP.KD.ZG]","GDP per capita (current US$) [NY.GDP.PCAP.CD]","Population, total [SP.POP.TOTL]","Foreign direct investment, net inflows (% of GDP) [BX.KLT.DINV.WD.GD.ZS]","Foreign direct investment, net inflows (BoP, current US$) [BX.KLT.DINV.CD.WD]"
"2009","YR2009","Viet Nam","VNM","106014659565.21","6.7169826998863","5.3978975401418","1226.1697605154","86460018","7.1688198888428","7600000000"
"2010","YR2010","Viet Nam","VNM","147201173196.98","9.2074664877841","6.4232448223948","1683.1618244398","87455152","5.4347392933443","8000000000"
"2011","YR2011","Viet Nam","VNM","172595049183.92","18.677732277071","6.4131688968168","1950.9250417491","88468314","4.3048743490216","7430000000"
"2012","YR2012","Viet Nam","VNM","195590661129.25","9.0947033955719","5.5045447041189","2185.1176765429","89510356","4.2783228768117","8368000000"
"2013","YR2013","Viet Nam","VNM","213708811665.34","6.5926747589919","5.5535108102607","2359.5173647283","90573104","4.1645451727732","8900000000"
"2014","YR2014","Viet Nam","VNM","233451469642.52","4.0845544663762","6.4222431211857","2546.384644599","91679578","3.9408618905196","9200000000"
"2015","YR2015","Viet Nam","VNM","239258328381.74","0.63120090517575","6.9871543059861","2577.5688534011","92823254","4.9319077332902","11800000000"
"2016","YR2016","Viet Nam","VNM","257096001177.98","2.6682481696908","6.6900089266042","2735.0604380416","94000117","4.9008930291675","12600000000"
"2017","YR2017","Viet Nam","VNM","281353605986.9","3.5202568881162","6.9401903735921","2956.1099212775","95176977","5.0114872174968","14100000000"
"2018","YR2018","Viet Nam","VNM","310106478394.66","3.5396280594264","7.4650068557275","3222.3100312537","96237319","4.9982831962233","15500000000"
"2019","YR2019","Viet Nam","VNM","334365270496.67","2.7958236745225","7.3592627010501","3440.9002537543","97173776","4.821074861051","16120000000"
"2020","YR2020","Viet Nam","VNM","346615738537.8","3.2209343665251","2.8654132091227","3534.0395348265","98079191","4.5583619678242","15800000000"
"2021","YR2021","Viet Nam","VNM","366474752771.01","1.8347155481044","2.5537285264813","3704.1935590038","98935098","4.2731456619019","15660000000"
"2022","YR2022","Viet Nam","VNM","413445230668.58","3.1565074996313","8.5375004675579","4147.6977721362","99680655","4.3294730891088","17900000000"
"2023","YR2023","Viet Nam","VNM","433857681378.29","3.2528928266766","5.0650239145507","4323.3503198245","100352192","4.2640710984369","18500000000"
"2024","YR2024","Viet Nam","VNM","476388230307.18","3.6210927388584","7.0911874663397","4717.2902873245","100987686","4.2339417132523","20170000000"
